epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8179,0.79137,2.67463,1.00726,1,0.28727,0.97149,0.73072,0.72331,3.13397,0.85518,0.00034,0.00034,0.00034
2,125.298,0.69799,1.37754,0.93945,0.93464,0.3,0.74415,0.57879,0.55198,3.2028,0.80851,0.00069307,0.00069307,0.00069307
3,187.113,0.73463,1.26438,0.95681,0.24529,0.95,0.54688,0.4676,0.49357,3.24337,0.80318,0.00103901,0.00103901,0.00103901
4,247.653,0.65687,1.08031,0.93442,0.99162,1,0.995,0.85774,0.53855,2.53069,0.81773,0.00137783,0.00137783,0.00137783
5,310.029,0.69461,0.99568,0.98295,0.99233,1,0.995,0.86056,0.65022,1.8583,0.85341,0.00170951,0.00170951,0.00170951
6,377.508,0.70351,0.99362,0.95666,0.91844,1,0.98955,0.83155,0.61383,1.62947,0.85964,0.001901,0.001901,0.001901
7,458.029,0.66095,0.96019,0.937,0.9969,1,0.995,0.86678,0.56112,1.07897,0.82328,0.0018812,0.0018812,0.0018812
8,527.016,0.6383,0.79726,0.93029,0.99709,1,0.995,0.82815,0.61034,1.12008,0.83271,0.0018614,0.0018614,0.0018614
9,597.365,0.68958,0.7961,0.97265,0.99668,1,0.995,0.78074,0.81009,1.10052,0.90159,0.0018416,0.0018416,0.0018416
10,672.589,0.63138,0.66602,0.92101,0.99857,1,0.995,0.9136,0.388,0.68648,0.75029,0.0018218,0.0018218,0.0018218
11,742.729,0.5891,0.64609,0.91256,0.9986,1,0.995,0.89883,0.39787,0.63597,0.758,0.001802,0.001802,0.001802
12,807.26,0.59009,0.60948,0.92677,0.99854,1,0.995,0.90853,0.49288,0.59601,0.77812,0.0017822,0.0017822,0.0017822
13,871.659,0.59506,0.57909,0.92648,0.99847,1,0.995,0.88757,0.42606,0.57801,0.77309,0.0017624,0.0017624,0.0017624
14,935.806,0.60129,0.57648,0.91965,0.9983,1,0.995,0.8786,0.56681,0.5438,0.80847,0.0017426,0.0017426,0.0017426
15,1006.46,0.5875,0.54781,0.93711,0.99852,1,0.995,0.88032,0.48661,0.47403,0.78316,0.0017228,0.0017228,0.0017228
16,1074.12,0.57661,0.49973,0.92984,0.99835,1,0.995,0.88459,0.542,0.49185,0.79036,0.001703,0.001703,0.001703
17,1136.27,0.58347,0.49558,0.92724,0.99845,1,0.995,0.87121,0.50997,0.45828,0.78739,0.0016832,0.0016832,0.0016832
18,1204.42,0.54053,0.45145,0.90951,0.99856,1,0.995,0.90065,0.41949,0.36666,0.77251,0.0016634,0.0016634,0.0016634
19,1271.72,0.5363,0.42332,0.90373,0.99852,1,0.995,0.87969,0.49108,0.4182,0.79225,0.0016436,0.0016436,0.0016436
20,1341.22,0.54011,0.446,0.89479,0.99852,1,0.995,0.88111,0.45888,0.37936,0.78648,0.0016238,0.0016238,0.0016238
21,1411.32,0.54783,0.43113,0.89969,0.99673,1,0.995,0.88783,0.51698,0.39607,0.78062,0.001604,0.001604,0.001604
22,1478.77,0.5056,0.4043,0.86894,0.99856,1,0.995,0.91102,0.38645,0.37605,0.74448,0.0015842,0.0015842,0.0015842
23,1558.02,0.50758,0.40902,0.91103,0.99864,1,0.995,0.90913,0.46162,0.33155,0.76855,0.0015644,0.0015644,0.0015644
24,1622.35,0.48863,0.36716,0.87678,0.99867,1,0.995,0.90946,0.45577,0.33225,0.76479,0.0015446,0.0015446,0.0015446
25,1690.93,0.48671,0.35892,0.87886,0.99866,1,0.995,0.89074,0.4735,0.32174,0.76533,0.0015248,0.0015248,0.0015248
26,1758.12,0.49765,0.36687,0.89254,0.99858,1,0.995,0.87475,0.55289,0.31836,0.82285,0.001505,0.001505,0.001505
27,1819.91,0.55596,0.38328,0.89884,0.9986,1,0.995,0.86822,0.4974,0.36484,0.77797,0.0014852,0.0014852,0.0014852
28,1880.99,0.52824,0.37977,0.9044,0.99855,1,0.995,0.87443,0.61455,0.37842,0.80455,0.0014654,0.0014654,0.0014654
29,1941.38,0.5207,0.3725,0.89243,0.99824,1,0.995,0.89224,0.51982,0.30832,0.78321,0.0014456,0.0014456,0.0014456
30,2015.15,0.48218,0.35029,0.87806,0.99805,1,0.995,0.88338,0.4742,0.28384,0.77279,0.0014258,0.0014258,0.0014258
31,2083.22,0.48733,0.34966,0.87882,0.99851,1,0.995,0.91431,0.4938,0.30967,0.7887,0.001406,0.001406,0.001406
32,2150.01,0.48369,0.35537,0.87919,0.99849,1,0.995,0.89398,0.48711,0.33386,0.77867,0.0013862,0.0013862,0.0013862
33,2214.5,0.47229,0.3458,0.87812,0.99859,1,0.995,0.90975,0.48767,0.32875,0.77972,0.0013664,0.0013664,0.0013664
34,2278.15,0.44819,0.35543,0.87583,0.99839,1,0.995,0.89953,0.50326,0.31366,0.78003,0.0013466,0.0013466,0.0013466
35,2343.28,0.45564,0.34102,0.87453,0.9985,1,0.995,0.90533,0.49943,0.31096,0.78239,0.0013268,0.0013268,0.0013268
36,2402.7,0.46624,0.35418,0.86891,0.99865,1,0.995,0.90914,0.40342,0.26544,0.75332,0.001307,0.001307,0.001307
37,2460.95,0.47151,0.34799,0.88835,0.99799,1,0.995,0.89085,0.54713,0.37295,0.78667,0.0012872,0.0012872,0.0012872
38,2518.83,0.45803,0.3279,0.8901,0.99845,1,0.995,0.90241,0.54717,0.27264,0.79077,0.0012674,0.0012674,0.0012674
39,2577.63,0.43327,0.31724,0.87382,0.99856,1,0.995,0.90405,0.43414,0.26572,0.76177,0.0012476,0.0012476,0.0012476
40,13438.1,0.43994,0.31761,0.86293,0.99848,1,0.995,0.88118,0.45068,0.25728,0.76974,0.0012278,0.0012278,0.0012278
41,13495.3,0.43172,0.30443,0.87453,0.99867,1,0.995,0.89686,0.51869,0.25571,0.78772,0.001208,0.001208,0.001208
42,13556.1,0.4316,0.30645,0.88852,0.99862,1,0.995,0.92051,0.45742,0.24278,0.76802,0.0011882,0.0011882,0.0011882
43,13640.2,0.41366,0.30167,0.87854,0.99864,1,0.995,0.91098,0.46316,0.29665,0.7633,0.0011684,0.0011684,0.0011684
44,13741.9,0.46228,0.31778,0.87894,0.99864,1,0.995,0.90925,0.45278,0.27062,0.76788,0.0011486,0.0011486,0.0011486
45,13841.7,0.41921,0.30923,0.84809,0.99863,1,0.995,0.88873,0.50159,0.289,0.77829,0.0011288,0.0011288,0.0011288
46,13942.9,0.43766,0.31293,0.87177,0.99853,1,0.995,0.91055,0.42221,0.26451,0.75658,0.001109,0.001109,0.001109
47,14145.7,0.40316,0.2959,0.86853,0.99855,1,0.995,0.91941,0.39703,0.24781,0.75063,0.0010892,0.0010892,0.0010892
48,14318.4,0.43621,0.30698,0.87703,0.99862,1,0.995,0.89602,0.48995,0.2579,0.77119,0.0010694,0.0010694,0.0010694
49,14473.1,0.3919,0.28578,0.85788,0.99862,1,0.995,0.91539,0.42497,0.24183,0.76242,0.0010496,0.0010496,0.0010496
50,14628.3,0.41506,0.29943,0.85979,0.99853,1,0.995,0.88362,0.52665,0.29941,0.79076,0.0010298,0.0010298,0.0010298
51,14807.3,0.39503,0.2794,0.8527,0.99863,1,0.995,0.90608,0.45176,0.25796,0.76833,0.00101,0.00101,0.00101
52,15006.5,0.40437,0.29361,0.86327,0.99864,1,0.995,0.91133,0.43331,0.22179,0.75695,0.0009902,0.0009902,0.0009902
53,15207.8,0.41765,0.29288,0.8661,0.99866,1,0.995,0.91709,0.40707,0.22112,0.75409,0.0009704,0.0009704,0.0009704
54,15296.4,0.37916,0.27477,0.84767,0.99862,1,0.995,0.88777,0.48901,0.25171,0.77309,0.0009506,0.0009506,0.0009506
55,15386.4,0.39977,0.28408,0.86624,0.99857,1,0.995,0.93138,0.40481,0.20215,0.76192,0.0009308,0.0009308,0.0009308
56,15479.8,0.41643,0.28784,0.86246,0.99868,1,0.995,0.89062,0.51975,0.26542,0.78863,0.000911,0.000911,0.000911
57,15623.7,0.40072,0.27834,0.86145,0.99869,1,0.995,0.90809,0.45518,0.23347,0.77285,0.0008912,0.0008912,0.0008912
58,15776.8,0.37193,0.27266,0.86278,0.99849,1,0.995,0.91945,0.43242,0.22602,0.7673,0.0008714,0.0008714,0.0008714
59,15907.2,0.38708,0.27276,0.86072,0.99845,1,0.995,0.87561,0.55819,0.25057,0.78984,0.0008516,0.0008516,0.0008516
60,16086.4,0.36439,0.25344,0.8499,0.99862,1,0.995,0.91892,0.4278,0.22514,0.76154,0.0008318,0.0008318,0.0008318
61,16283.4,0.36899,0.26562,0.85229,0.99863,1,0.995,0.914,0.42808,0.23009,0.76186,0.000812,0.000812,0.000812
62,16468.8,0.38301,0.26775,0.84493,0.99867,1,0.995,0.93589,0.42508,0.20829,0.76077,0.0007922,0.0007922,0.0007922
63,16595.5,0.34848,0.25806,0.83835,0.9987,1,0.995,0.9062,0.47782,0.22212,0.77294,0.0007724,0.0007724,0.0007724
64,16745.4,0.36066,0.25526,0.83736,0.99862,1,0.995,0.91382,0.44959,0.23009,0.76121,0.0007526,0.0007526,0.0007526
65,16883,0.35551,0.25054,0.84739,0.99859,1,0.995,0.91331,0.43707,0.23266,0.76265,0.0007328,0.0007328,0.0007328
66,16998.6,0.37618,0.25684,0.85027,0.99868,1,0.995,0.92665,0.41629,0.21266,0.75609,0.000713,0.000713,0.000713
67,17118.7,0.35226,0.25327,0.84609,0.99867,1,0.995,0.89608,0.52185,0.25102,0.78093,0.0006932,0.0006932,0.0006932
68,17230.6,0.32313,0.23409,0.83604,0.99867,1,0.995,0.93507,0.40759,0.20946,0.75897,0.0006734,0.0006734,0.0006734
69,17340.4,0.3415,0.24465,0.84767,0.99867,1,0.995,0.90885,0.49652,0.24502,0.77567,0.0006536,0.0006536,0.0006536
70,17445.8,0.34828,0.24451,0.85238,0.9986,1,0.995,0.89954,0.4595,0.2206,0.76455,0.0006338,0.0006338,0.0006338
71,17559,0.34707,0.25602,0.85454,0.99849,1,0.995,0.92764,0.36946,0.18547,0.75065,0.000614,0.000614,0.000614
72,17672.2,0.34162,0.24274,0.84696,0.99864,1,0.995,0.91387,0.45078,0.25809,0.77105,0.0005942,0.0005942,0.0005942
73,17799.3,0.33048,0.23977,0.83884,0.99861,1,0.995,0.91353,0.43558,0.222,0.76465,0.0005744,0.0005744,0.0005744
74,17948.8,0.32532,0.23629,0.83477,0.99863,1,0.995,0.92752,0.40858,0.20549,0.76283,0.0005546,0.0005546,0.0005546
75,18059.7,0.32197,0.23035,0.84001,0.99865,1,0.995,0.90673,0.45672,0.19965,0.77231,0.0005348,0.0005348,0.0005348
76,18168.5,0.30178,0.22308,0.84982,0.99866,1,0.995,0.91272,0.39788,0.17555,0.76135,0.000515,0.000515,0.000515
77,18275.5,0.32184,0.22747,0.83848,0.99869,1,0.995,0.89769,0.50969,0.2263,0.78368,0.0004952,0.0004952,0.0004952
78,18376.1,0.30776,0.22036,0.84462,0.99865,1,0.995,0.92506,0.45838,0.19887,0.77459,0.0004754,0.0004754,0.0004754
79,18509,0.31504,0.23228,0.84201,0.99868,1,0.995,0.90689,0.44985,0.19579,0.76621,0.0004556,0.0004556,0.0004556
80,18752.4,0.30591,0.22432,0.833,0.9987,1,0.995,0.90798,0.45122,0.18945,0.76405,0.0004358,0.0004358,0.0004358
81,18901.6,0.31577,0.21884,0.82094,1,1,0.995,0.92027,0.39955,0.18946,0.7551,0.000416,0.000416,0.000416
82,19069,0.31654,0.22654,0.84301,0.99868,1,0.995,0.90775,0.45462,0.19835,0.76363,0.0003962,0.0003962,0.0003962
83,19157.6,0.30866,0.22127,0.83987,0.99869,1,0.995,0.92236,0.40622,0.19494,0.75475,0.0003764,0.0003764,0.0003764
84,19249,0.28595,0.20714,0.82481,0.99871,1,0.995,0.91142,0.44113,0.20598,0.76429,0.0003566,0.0003566,0.0003566
85,19337.7,0.29902,0.22068,0.82472,0.9987,1,0.995,0.91436,0.43898,0.1981,0.76159,0.0003368,0.0003368,0.0003368
86,19427.2,0.28402,0.20685,0.82256,0.99869,1,0.995,0.90446,0.47104,0.21413,0.76916,0.000317,0.000317,0.000317
87,19515.1,0.30179,0.2125,0.84444,0.99869,1,0.995,0.90467,0.46846,0.22312,0.76904,0.0002972,0.0002972,0.0002972
88,19604.3,0.2766,0.20296,0.83756,0.99869,1,0.995,0.8956,0.47372,0.2243,0.77188,0.0002774,0.0002774,0.0002774
89,19693.2,0.28322,0.2024,0.83318,0.99869,1,0.995,0.91781,0.40217,0.1951,0.7607,0.0002576,0.0002576,0.0002576
90,19782.3,0.29418,0.21791,0.83431,0.99869,1,0.995,0.90742,0.43264,0.19597,0.76612,0.0002378,0.0002378,0.0002378
91,19871.9,0.23076,0.17416,0.80659,0.9987,1,0.995,0.92435,0.42353,0.19135,0.76169,0.000218,0.000218,0.000218
92,19961.4,0.2174,0.17456,0.79124,0.9987,1,0.995,0.9014,0.46327,0.19798,0.76794,0.0001982,0.0001982,0.0001982
93,20050.9,0.2392,0.17825,0.79337,0.99869,1,0.995,0.91148,0.46237,0.21611,0.76953,0.0001784,0.0001784,0.0001784
94,20138.9,0.22388,0.16437,0.8025,0.99871,1,0.995,0.90529,0.473,0.21689,0.77203,0.0001586,0.0001586,0.0001586
95,20230.8,0.22401,0.16917,0.80174,0.9987,1,0.995,0.91693,0.4512,0.21882,0.76682,0.0001388,0.0001388,0.0001388
96,20324.1,0.21876,0.16404,0.79327,0.99869,1,0.995,0.91519,0.44171,0.2092,0.7657,0.000119,0.000119,0.000119
97,20409.4,0.21025,0.16142,0.79175,0.9987,1,0.995,0.90462,0.44365,0.20378,0.76568,9.92e-05,9.92e-05,9.92e-05
98,20498.7,0.20488,0.15511,0.78851,0.99871,1,0.995,0.91585,0.41339,0.19791,0.75849,7.94e-05,7.94e-05,7.94e-05
99,20586.6,0.20073,0.15808,0.79671,0.9987,1,0.995,0.91279,0.41597,0.19034,0.75845,5.96e-05,5.96e-05,5.96e-05
100,20695.3,0.19155,0.15394,0.78425,0.99871,1,0.995,0.91302,0.41513,0.18684,0.75788,3.98e-05,3.98e-05,3.98e-05
